Date,WTFESY
28/09/2005,184
5/10/2005,197
12/10/2005,197
19/10/2005,202
26/10/2005,182
2/11/2005,195
9/11/2005,187
16/11/2005,174
23/11/2005,190
30/11/2005,172
7/12/2005,170
14/12/2005,170
21/12/2005,168
28/12/2005,171.3333333
4/01/2006,174.6666667
11/01/2006,178
18/01/2006,168
25/01/2006,182
1/02/2006,177
8/02/2006,185
15/02/2006,185
22/02/2006,190
1/03/2006,195
8/03/2006,190
15/03/2006,195
22/03/2006,185
29/03/2006,185
5/04/2006,195
12/04/2006,190
19/04/2006,195
26/04/2006,192
3/05/2006,195
10/05/2006,193
17/05/2006,195
24/05/2006,205
31/05/2006,203
7/06/2006,220
14/06/2006,220
21/06/2006,220
28/06/2006,220
5/07/2006,215
12/07/2006,222
19/07/2006,215
26/07/2006,220
2/08/2006,212
9/08/2006,215
16/08/2006,215
23/08/2006,218
30/08/2006,235
6/09/2006,235
13/09/2006,240
20/09/2006,245
27/09/2006,255
4/10/2006,285
11/10/2006,305
18/10/2006,345
25/10/2006,335
1/11/2006,335
8/11/2006,360
15/11/2006,330
22/11/2006,300
29/11/2006,320
6/12/2006,320
13/12/2006,330
20/12/2006,320
27/12/2006,321.6666667
3/01/2007,323.3333333
10/01/2007,325
17/01/2007,320
24/01/2007,320
31/01/2007,317
7/02/2007,312
14/02/2007,307
21/02/2007,310
28/02/2007,330
7/03/2007,305
14/03/2007,300
21/03/2007,300
28/03/2007,300
4/04/2007,290
11/04/2007,300
18/04/2007,290
25/04/2007,292
2/05/2007,290
9/05/2007,300
16/05/2007,300
23/05/2007,295
30/05/2007,285
6/06/2007,295
13/06/2007,290
20/06/2007,305
27/06/2007,308
4/07/2007,310
11/07/2007,315
18/07/2007,310
25/07/2007,310
1/08/2007,305
8/08/2007,312
15/08/2007,330
22/08/2007,315
29/08/2007,320
5/09/2007,360
12/09/2007,405
19/09/2007,420
26/09/2007,450
3/10/2007,470
10/10/2007,480
17/10/2007,440
24/10/2007,450
31/10/2007,450
7/11/2007,450
14/11/2007,440
21/11/2007,400
28/11/2007,430
5/12/2007,435
12/12/2007,465
19/12/2007,430
26/12/2007,436.6666667
2/01/2008,443.3333333
9/01/2008,450
16/01/2008,445
23/01/2008,450
30/01/2008,440
6/02/2008,460
