Date,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg
31/05/2007,354.25,353.5,346.75
30/06/2007,375.5,373,374
31/07/2007,363,363.2,368.6
31/08/2007,312,312.5,317.25
30/09/2007,262.75,264.75,270.25
31/10/2007,276.8,268.8,274.2
30/11/2007,294.25,280.75,277
31/12/2007,303.5,295,289
31/01/2008,328,328.5,323.25
29/02/2008,369.75,372,343.75
31/03/2008,353.8,338.8,327.2
30/04/2008,348,337.5,328.5
31/05/2008,366.75,354.25,348.5
30/06/2008,430.4,417.4,408.8
31/07/2008,460.75,453.75,448.5
31/08/2008,461,456.25,448.75
30/09/2008,437.2,436.8,433.6
31/10/2008,372.25,373.5,379.5
30/11/2008,359,359.75,363.75
31/12/2008,403,397.6666667,393.3333333
31/01/2009,422,417.5,413.75
28/02/2009,412.75,407,411.25
31/03/2009,435.6,429.6,434.8
30/04/2009,451.75,447.25,448.75
31/05/2009,464.75,457.75,458
30/06/2009,490.6,481.6,480
31/07/2009,499,497,489.75
31/08/2009,434.4,442.2,452.2
30/09/2009,424.5,433.25,440.25
31/10/2009,422.5,425.5,429.25
30/11/2009,393.4,393.6,394.2
31/12/2009,415,413.5,414.5
31/01/2010,461.3333333,461.3333333,457.3333333
28/02/2010,469,469,465.5
31/03/2010,473.2,473.2,469.6
30/04/2010,468.5,468.5,463.25
31/05/2010,482.6,481.6,476.2
30/06/2010,498.75,498.75,493
31/07/2010,496,495.25,484.5
31/08/2010,512.2,512.2,493.6
30/09/2010,518,517,495.25
31/10/2010,472.75,472.75,461.75
30/11/2010,464.8,465.4,456
31/12/2010,491.5,492,490.5
31/01/2011,532.75,533.75,535.5
28/02/2011,575.5,575.75,571.75
31/03/2011,600.25,600.25,595.25
30/04/2011,596.25,596.5,588
31/05/2011,570,572.8,553
30/06/2011,543.25,545.25,522.75
31/07/2011,493,492.25,470.25
31/08/2011,494,493,464.4
30/09/2011,493.5,495.75,470.75
31/10/2011,505.6,507,493.6
30/11/2011,500.25,500.75,490.5
31/12/2011,511,511,504
31/01/2012,496.25,496.25,483.5
29/02/2012,482.5,481,462.25
31/03/2012,469.25,468,455.75
30/04/2012,449,447.6,441
31/05/2012,443.25,441.5,435.25
30/06/2012,446.5,448.5,431.5
31/07/2012,453.6,441.2,424.8
31/08/2012,427,418.25,403
30/09/2012,416.75,413.5,408.5
31/10/2012,393.6,392.8,382.6
30/11/2012,350.25,351.25,351.75
31/12/2012,354.5,354.5,351.5
31/01/2013,360.75,361.5,359
28/02/2013,369.25,369.5,366.25
31/03/2013,423,423.75,421
30/04/2013,427.6,429.2,426.4
31/05/2013,417.5,417.25,419.5
30/06/2013,473.75,472.75,463.25
31/07/2013,505.4,502.6,496.6
31/08/2013,489.25,487.75,487.5
30/09/2013,452.4,452.4,448.2
31/10/2013,435,435,429.25
30/11/2013,419.75,419.75,413.75
31/12/2013,430.5,430.5,426.6
31/01/2014,439.5,439.5,432.5
28/02/2014,480.75,482.25,476.5
31/03/2014,566.4,566.4,563.6
30/04/2014,574,574,568.75
31/05/2014,592.75,592.75,586.5
30/06/2014,587.6,587.6,584.4
31/07/2014,555.75,559.25,563
31/08/2014,497.75,497.75,500.75
30/09/2014,493.8,493.8,490
31/10/2014,483.5,483.5,482.5
30/11/2014,466.5,470,466.25
31/12/2014,497.65,502.25,502
31/01/2015,514.5625,523.3125,524
28/02/2015,531.25,541.25,543.5
31/03/2015,519.2,529.2,520
30/04/2015,527,537,529.25
31/05/2015,539.5,554.5,549.5
30/06/2015,553,568,567.2
31/07/2015,564,574,569.5
31/08/2015,568.8,577.8,575.6
30/09/2015,551.25,562,560.75
31/10/2015,484.25,499,497.5
30/11/2015,493.4,518,518
31/12/2015,499.0625,521.625,521.625
31/01/2016,490.3125,514.875,514.875
29/02/2016,503.8,523.8,525
31/03/2016,484.5,501.5,501.5
30/04/2016,502,510,510
31/05/2016,528,536,533.6
30/06/2016,588,596,592
31/07/2016,604,612,612
31/08/2016,591.4,600.6,600.6
30/09/2016,549.75,567,567
31/10/2016,540.6,555.4,556.4
30/11/2016,521,537,535.5
31/12/2016,515.4,524.6,530.3
31/01/2017,534.88,549.92,552.56
28/02/2017,607.5,613.5,613.5
31/03/2017,621,621,621
30/04/2017,652.5,652.5,652.5
31/05/2017,640.4,640.4,640.4
30/06/2017,638,638,638
31/07/2017,594.4,594.4,594.4
31/08/2017,600.5,600.5,600.5
30/09/2017,607.5,607.5,607.5
31/10/2017,606,606,606
30/11/2017,634,634,634
31/12/2017,652,652,652
31/01/2018,654.6,654.6,654.6
28/02/2018,623.5,623.5,623.5
31/03/2018,617.75,617.75,617.75
30/04/2018,609.6,609.6,609.6
31/05/2018,602.5,602.5,602.5
30/06/2018,630,630,630
31/07/2018,717.2,725.4,722.8
31/08/2018,783.75,783.75,783.75
30/09/2018,815.25,815.25,815.25
31/10/2018,742,742,742
30/11/2018,722.5,722.5,722.5
31/12/2018,722.8,725.5,725.5
31/01/2019,702.75,705,705
28/02/2019,676,676,676
31/03/2019,648.5,648.5,648.5
30/04/2019,687.3,687.3,687.3
31/05/2019,766.75,766.75,766.75
30/06/2019,839.5,839.5,839.5
31/07/2019,875.4,875.4,875.4
31/08/2019,840,840,840
30/09/2019,790.8,790.8,790.8
31/10/2019,783,783,778.5
30/11/2019,759.25,759.25,757.75
31/12/2019,721,734,734
31/01/2020,695.5,729.75,729.75
