Date ,WTFESY,
3/03/2004,205.00,
10/03/2004,217.00,
17/03/2004,220.00,
24/03/2004,220.00,
31/03/2004,215.00,
7/04/2004,215.00,
14/04/2004,225.00,
21/04/2004,225.00,
28/04/2004,220.00,
5/05/2004,225.00,
12/05/2004,230.00,
19/05/2004,235.00,
26/05/2004,235.00,
2/06/2004,235.00,
9/06/2004,233.00,
16/06/2004,230.00,
23/06/2004,223.00,
30/06/2004,220.00,
7/07/2004,215.00,
14/07/2004,210.00,
21/07/2004,210.00,
28/07/2004,210.00,
4/08/2004,210.00,
11/08/2004,210.00,
18/08/2004,208.00,
25/08/2004,208.00,
1/09/2004,211.00,
8/09/2004,201.00,
15/09/2004,198.00,
22/09/2004,198.00,
29/09/2004,195.00,
6/10/2004,193.00,
13/10/2004,195.00,
20/10/2004,198.00,
27/10/2004,205.00,
3/11/2004,195.00,
10/11/2004,195.00,
17/11/2004,185.00,
24/11/2004,180.00,
1/12/2004,185.00,
8/12/2004,182.00,
15/12/2004,182.00,
22/12/2004,,
29/12/2004,,
5/01/2005,,
12/01/2005,175.00,
19/12/2005,175.00,
26/01/2005,175.00,
2/02/2005,190.00,
9/02/2005,170.00,
16/02/2005,165.00,
23/02/2005,168.00,
2/03/2005,167.00,
9/03/2005,190.00,
16/03/2005,185.00,
23/03/2005,176.00,
30/03/2005,176.00,
6/04/2005,176.00,
13/04/2005,178.00,
20/04/2005,195.00,
27/04/2005,183.00,
4/05/2005,205.00,
11/05/2005,210.00,
18/05/2005,210.00,
25/05/2005,225.00,
1/06/2005,230.00,
8/06/2005,230.00,
15/06/2005,225.00,
22/06/2005,215.00,
29/06/2005,215.00,
6/07/2005,210.00,
13/07/2005,208.00,
20/07/2005,210.00,
27/07/2005,205.00,
3/08/2005,205.00,
10/08/2005,200.00,
17/08/2005,200.00,
24/08/2005,196.00,
31/08/2005,195.00,
7/09/2005,194.00,
14/09/2005,195.00,
21/09/2005,185.00,
28/09/2005,184.00,
5/10/2005,197.00,
12/10/2005,197.00,
19/10/2005,202.00,
26/10/2005,182.00,
2/11/2005,195.00,
9/11/2005,187.00,
16/11/2005,174.00,
23/11/2005,190.00,
30/11/2005,172.00,
7/12/2005,170.00,
14/12/2005,170.00,
21/12/2005,168.00,
28/12/2005,,
4/01/2006,,
11/01/2006,178.00,
18/01/2006,168.00,
25/01/2006,182.00,
1/02/2006,177.00,
8/02/2006,185.00,
15/02/2006,185.00,
22/02/2006,190.00,
1/03/2006,195.00,
8/03/2006,190.00,
15/03/2006,195.00,
22/03/2006,185.00,
29/03/2006,185.00,
5/04/2006,195.00,
12/04/2006,190.00,
19/04/2006,195.00,
26/04/2006,192.00,
3/05/2006,195.00,
10/05/2006,193.00,
17/05/2006,195.00,
24/05/2006,205.00,
31/05/2006,203.00,
7/06/2006,220.00,
14/06/2006,220.00,
21/06/2006,220.00,
28/06/2006,220.00,
5/07/2006,215.00,
12/07/2006,222.00,
19/07/2006,215.00,
26/07/2006,220.00,
2/08/2006,212.00,
9/08/2006,215.00,
16/08/2006,215.00,
23/08/2006,218.00,
30/08/2006,235.00,
6/09/2006,235.00,
13/09/2006,240.00,
20/09/2006,245.00,
27/09/2006,255.00,
4/10/2006,285.00,
11/10/2006,305.00,
18/10/2006,345.00,
25/10/2006,335.00,
1/11/2006,335.00,
8/11/2006,360.00,
15/11/2006,,
22/11/2006,300.00,
29/11/2006,320.00,
6/12/2006,320.00,
13/12/2006,330.00,
20/12/2006,320.00,
27/12/2006,,
3/01/2007,,
10/01/2007,325.00,
17/01/2007,320.00,
24/01/2007,320.00,
31/01/2007,317.00,
7/02/2007,312.00,
14/02/2007,307.00,
21/02/2007,310.00,
28/02/2007,330.00,
7/03/2007,305.00,
14/03/2007,300.00,
21/03/2007,300.00,
28/03/2007,300.00,
4/04/2007,290.00,
11/04/2007,300.00,
18/04/2007,290.00,
25/04/2007,292.00,
2/05/2007,290.00,
9/05/2007,300.00,
16/05/2007,300.00,
23/05/2007,295.00,
30/05/2007,285.00,
6/06/2007,295.00,
13/06/2007,290.00,
20/06/2007,305.00,
27/06/2007,308.00,
4/07/2007,310.00,
11/07/2007,315.00,
18/07/2007,310.00,
25/07/2007,310.00,
1/08/2007,305.00,
8/08/2007,312.00,
15/08/2007,330.00,
22/08/2007,315.00,
29/08/2007,320.00,
5/09/2007,360.00,
12/09/2007,405.00,
19/09/2007,420.00,
26/09/2007,450.00,
3/10/2007,470.00,
10/10/2007,480.00,
17/10/2007,440.00,
24/10/2007,450.00,
31/10/2007,450.00,
7/11/2007,450.00,
14/11/2007,440.00,
21/11/2007,400.00,
28/11/2007,430.00,
5/12/2007,435.00,
12/12/2007,465.00,
19/12/2007,430.00,
26/12/2007,,
2/01/2008,,
9/01/2008,450.00,
16/01/2008,445.00,
23/01/2008,450.00,
30/01/2008,440.00,
6/02/2008,460.00,
13/02/2008,465.00,
20/02/2008,475.00,
27/02/2008,500.00,
5/03/2008,500.00,
12/03/2008,490.00,
19/03/2008,535.00,
26/03/2008,525.00,
2/04/2008,490.00,
9/04/2008,495.00,
16/04/2008,470.00,
23/04/2008,450.00,
30/04/2008,445.00,
7/05/2008,425.00,
14/05/2008,420.00,
21/05/2008,425.00,
28/05/2008,450.00,
4/06/2008,420.00,
11/06/2008,425.00,
18/06/2008,440.00,
25/06/2008,455.00,
2/07/2008,465.00,
9/07/2008,465.00,
16/07/2008,445.00,
23/07/2008,435.00,
30/07/2008,435.00,
6/08/2008,420.00,
13/08/2008,415.00,
20/08/2008,420.00,
27/08/2008,420.00,
3/09/2008,425.00,
10/09/2008,410.00,
17/09/2008,410.00,
24/09/2008,370.00,
1/10/2008,360.00,
8/10/2008,345.00,
15/10/2008,355.00,
22/10/2008,345.00,
29/10/2008,305.00,
5/11/2008,295.00,
12/11/2008,285.00,
19/11/2008,290.00,
26/11/2008,,
3/12/2008,225.00,
10/12/2008,230.00,
17/12/2008,225.00,
24/12/2008,,
31/12/2008,,
7/01/2009,,
14/01/2009,245.00,
21/01/2009,255.00,
28/01/2009,330.00,
4/02/2009,300.00,
11/02/2009,280.00,
18/02/2009,280.00,
25/02/2009,270.00,
4/03/2009,285.00,
11/03/2009,277.00,
18/03/2009,282.00,
25/03/2009,280.00,
1/04/2009,270.00,
8/04/2009,285.00,
15/04/2009,260.00,
23/04/2009,270.00,
30/04/2009,270.00,
7/05/2009,270.00,
14/05/2009,,
21/05/2009,271.00,
28/05/2009,281.00,
4/06/2009,281.00,
11/06/2009,286.00,
18/06/2009,281.00,
25/06/2009,277.00,
2/07/2009,280.00,
9/07/2009,287.00,
16/07/2009,285.00,
23/07/2009,270.00,
30/07/2009,268.00,
6/08/2009,275.00,
13/08/2009,260.00,
20/08/2009,255.00,
27/08/2009,260.00,
3/09/2009,255.00,
10/09/2009,255.00,
17/09/2009,250.00,
24/09/2009,240.00,
1/10/2009,230.00,
8/10/2009,225.00,
15/10/2009,225.00,
22/10/2009,235.00,
29/10/2009,230.00,
5/11/2009,235.00,
12/11/2009,225.00,
19/11/2009,230.00,
26/11/2009,230.00,
3/12/2009,230.00,
10/12/2009,245.00,
17/12/2009,250.00,
24/12/2009,255.00,
31/12/2009,,
7/01/2010,,
