,Date,OTH 16-18kg,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
30,31/07/2001,181.2,251,277.6,308.2,202.75,282.25,224,309.25,198.5,194.75,164.5
31,31/08/2001,216,264,309.75,319.25,195.6,320.6,275,349.4,212.8,223.4,175.8
32,30/09/2001,292.5,324.5,331.25,339.5,192.25,329.25,285.75,357.25,244.25,255.25,182
33,31/10/2001,239,273.4,291.2,316.6,200.6,279,236,307.5,187.25,244.5,149
34,30/11/2001,238.75,271,290,312.25,204.5,279.4,246.2,298.4,200,250.8,140.2
35,31/12/2001,235,268,285,310,205.4166667,278.75,247.75,293,218.75,248,138.5
36,31/01/2002,247.5,278.75,285.75,310,220.6666667,290.6,250.8,294.6,198.2,228.4,136.2
37,28/02/2002,305,331.25,314.5,339.5,225.75,361.25,320.5,361.5,275.5,302.75,179.25
38,31/03/2002,331.25,347.5,331.25,348.5,221.75,342.75,316.25,348.75,281.25,292,182
39,30/04/2002,301,310,314.8,328.4,220,321.75,289.5,318,256,287,194.5
40,31/05/2002,287.5,297.5,287.5,294.5,221.2,286.8,252.8,279.2,215.2,259.2,182.6
41,30/06/2002,273.75,279.5,264.25,276.5,223.25,299.75,239.25,285.75,210.5,214.25,192.5
42,31/07/2002,280,300.4,288.2,306.4,235.6,317,255.5,313,233.75,200,178.25
43,31/08/2002,280,308.5,326.75,342.75,280,357.8,301.2,364.2,266.6,214.8,152.4
44,30/09/2002,324,344,362,383.2,320,392.5,336,392.5,302.25,261,162.5
45,31/10/2002,287.5,325,356,385,348,331,272,349.2,222.4,199.4,116.8
46,30/11/2002,237.5,263.5,305,335.75,353.75,299.5,228.75,314.75,219.5,170.75,111.5
47,31/12/2002,255,272.6666667,321,354.6666667,337.25,338.75,278,333.5,248.5833333,209.75,136
48,31/01/2003,273.75,332.5,336.5,360.5,342.8,343.6,279.3,349.2,269.3333333,229.5,159
49,28/02/2003,276.25,329.5,334.75,364.5,330,360.5,303.25,374,291.5,237,164.25
50,31/03/2003,351.4,390,400,411.2,305,411.5,364,418.5,348,319.25,200.75
51,30/04/2003,355,380.5,390.25,418,276.4,396.25,354.75,404.25,342.75,332.5,214.5
52,31/05/2003,350,356.75,373.25,405.75,291.25,379.6,343.4,396,318.6,328.6,192.8
53,30/06/2003,360,392,392,408.8,297.25,417.75,362.75,421.75,360.5,343.5,203.75
54,31/07/2003,382.5,409.25,404.75,417.5,262,444.8,386.6,439.8,365.6,365.8,234.2
55,31/08/2003,390,425.75,431.75,434.75,220,459.25,388,459.25,375.5,385.5,249.5
56,30/09/2003,382,398.8,398.8,402,226.25,402.75,357.75,395.75,329,385.25,238.75
57,31/10/2003,347.5,358,359.25,370.75,213.4,362.8,355.4,351.2,325,390,225.6
58,30/11/2003,335,338.5,335.5,345.5,210.5,342.25,345.75,325.75,281.25,384.25,195.25
59,31/12/2003,320,333,327.3333333,313,207.6,346.5,328.75,319.75,289,368.9166667,200.25
60,31/01/2004,352,354.25,349.25,331.75,206.75,364.2,339.9,341.2,292.2,364.6666667,193.8
61,29/02/2004,372.5,365.5,358.5,339.75,205.25,375.25,370,350,321.5,366.25,203
62,31/03/2004,353.7407407,355.4,350,333.6,215.4,363.75,348.75,333,298.75,368.75,199.75
63,30/04/2004,345.462963,346.25,340,318,221.25,337.6,303,314.4,273.6,315,184
64,31/05/2004,339.6296296,359,349.2,327,231.25,374,309.5,354.75,286.25,315,191
65,30/06/2004,333.7962963,433.25,428.25,395.5,228.2,462.75,356.5,455.5,356.25,351.5,216.75
66,31/07/2004,328.6111112,490.5,486.75,469.75,211.25,513.2,373.2,500.8,378,389.6,239.2
67,31/08/2004,322.7777778,470.4,467.6,459.2,209,484,351,483.5,337.75,384,225
68,30/09/2004,316.9444445,407.5,409.5,404.75,200.6,403.4,331.6,410.8,293.6,345.8,201.2
69,31/10/2004,319.375,348.25,348.25,355,197.75,336.75,295.5,336.5,257.25,342.5,176.25
70,30/11/2004,312,335.6,334.2,338.4,188.75,352,322.75,333.25,275.5,370,179.5
71,31/12/2004,315,329,327,335.5,181.55,358.2,342.3,336.4,282.2,392.7,179.8
72,31/01/2005,325,336,331.25,326.5,175.5833333,344.25,324.25,324.25,278.75,371,174.25
73,28/02/2005,322.5,344.75,328.75,315.25,173.25,338.75,318.25,312.5,269.25,357.75,166.5
74,31/03/2005,327.5,342.25,326,305,178.8,325.8,309,297.4,271.2,332.8,164.2
75,30/04/2005,322.5,333.75,318.25,298.5,183,318.75,277.5,293,251.5,317,152.75
76,31/05/2005,333.6,339.4,319.2,300.2,212.5,330,274,297.5,260.25,323.25,169
77,30/06/2005,355,352.75,338.25,314.25,223,380,312.8,341.6,303,350.2,188
78,31/07/2005,381.75,374,370.25,355,208.25,410,349,388.75,336,363.5,231.25
79,31/08/2005,399.8,394.4,390.8,371.4,199.2,393.25,322.75,371,317,340.25,214.25
80,30/09/2005,389.25,387.75,391.75,381.75,189.5,401.2,324.8,396.8,307.8,349,192.8
81,31/10/2005,346.2,352.6,349,343.6,194.5,348.75,295,339.5,251.5,328.75,171.25
82,30/11/2005,315,336.5,333.5,330.25,183.6,347.75,313.25,338.5,244.25,325.75,169
83,31/12/2005,329,338,338,337.5,170.8666667,349.4,315.5,343.2,246.5,340.7,166.7
84,31/01/2006,321.25,337,336.75,329.25,175.6666667,341,295.5,340.5,244.5,330.25,150.5
85,28/02/2006,318,346,351,345.25,184.25,366,328,356.5,280.5,340.5,156.5
86,31/03/2006,280,342.5,343.25,339.5,190,341.4,305,337,272.2,325.6,162.8
87,30/04/2006,280,339.75,339.75,336.75,193,336.75,305.25,328.75,280.75,321.25,177.25
88,31/05/2006,280.3076923,343.8,343,339.6,198.2,343,297.75,329.75,285.75,319.75,188.25
89,30/06/2006,285.3846154,350.25,349.75,349.5,220,355,300.6,341.8,291.8,317.2,193
90,31/07/2006,292.3076923,364.6,363.2,360,218,382.75,309.5,355.75,311.5,349.25,214.75
91,31/08/2006,293.8461539,354.25,355.5,350.5,219,349,254.6,320.4,245,301.2,167.8
92,30/09/2006,270,314.25,311.5,314.25,243.75,307.5,216.25,292.5,191.75,274.25,126
93,31/10/2006,240,307.6,303.6,305,317.5,291.75,192.5,293,153.25,191.75,63
94,30/11/2006,217.5,317.5,311.5,321.25,329,304.2,219.2,305.2,178.4,209.2,66.4
95,31/12/2006,220,321,318,325,322.9166667,304.875,222.75,297.375,184.5,205.375,61.375
96,31/01/2007,242.5,327.5,325.5,326,321.0666667,321.25,263.25,312,204.75,239.5,111
97,28/02/2007,280,331,331,327,314.75,336.25,272.75,334,244.75,266.25,138.25
98,31/03/2007,282.5,337.5,342.5,339.75,301.25,344.2,292.6,341.6,278.2,304,176
99,30/04/2007,288,341.8,341.8,335,293,326.25,272.5,327.25,272,246.75,151.75
100,31/05/2007,335,354.25,353.5,346.75,294,373.2,322.4,362,316.2,326.6,195.8
