,Date ,WTFESY,Unnamed: 2
226,7/05/2003,285.0,
227,14/05/2003,285.0,
228,21/05/2003,300.0,
229,28/05/2003,295.0,
230,4/06/2003,292.0,
231,11/06/2003,297.0,
232,18/06/2003,300.0,
233,25/06/2003,300.0,
234,2/07/2003,290.0,
235,9/07/2003,270.0,
236,16/07/2003,255.0,
237,23/07/2003,250.0,
238,30/07/2003,245.0,
239,6/08/2003,215.0,
240,13/08/2003,215.0,
241,20/08/2003,225.0,
242,27/08/2003,225.0,
243,3/09/2003,230.0,
244,10/09/2003,225.0,
245,17/09/2003,225.0,
246,24/09/2003,225.0,
247,1/10/2003,220.0,
248,8/10/2003,215.0,
249,15/10/2003,210.0,
250,22/10/2003,210.0,
251,29/10/2003,212.0,
252,5/11/2003,210.0,
253,12/11/2003,205.0,
254,19/11/2003,215.0,
255,26/11/2003,212.0,
256,3/12/2003,217.0,
257,10/12/2003,212.0,
258,17/12/2003,202.0,
259,24/12/2003,203.0,
260,31/12/2003,204.0,
261,7/01/2004,205.0,
262,14/01/2004,207.0,
263,21/01/2004,210.0,
264,28/01/2004,205.0,
265,4/02/2004,210.0,
266,11/02/2004,208.0,
267,18/02/2004,205.0,
268,25/02/2004,198.0,
269,3/03/2004,205.0,
270,10/03/2004,217.0,
271,17/03/2004,220.0,
272,24/03/2004,220.0,
273,31/03/2004,215.0,
274,7/04/2004,215.0,
275,14/04/2004,225.0,
276,21/04/2004,225.0,
277,28/04/2004,220.0,
278,5/05/2004,225.0,
279,12/05/2004,230.0,
280,19/05/2004,235.0,
281,26/05/2004,235.0,
282,2/06/2004,235.0,
283,9/06/2004,233.0,
284,16/06/2004,230.0,
285,23/06/2004,223.0,
286,30/06/2004,220.0,
287,7/07/2004,215.0,
288,14/07/2004,210.0,
289,21/07/2004,210.0,
290,28/07/2004,210.0,
291,4/08/2004,210.0,
292,11/08/2004,210.0,
293,18/08/2004,208.0,
294,25/08/2004,208.0,
295,1/09/2004,211.0,
296,8/09/2004,201.0,
297,15/09/2004,198.0,
298,22/09/2004,198.0,
299,29/09/2004,195.0,
300,6/10/2004,193.0,
301,13/10/2004,195.0,
302,20/10/2004,198.0,
303,27/10/2004,205.0,
304,3/11/2004,195.0,
305,10/11/2004,195.0,
306,17/11/2004,185.0,
307,24/11/2004,180.0,
308,1/12/2004,185.0,
309,8/12/2004,182.0,
310,15/12/2004,182.0,
311,22/12/2004,180.25,
312,29/12/2004,178.5,
313,5/01/2005,176.75,
314,12/01/2005,175.0,
315,19/12/2005,175.0,
316,26/01/2005,175.0,
317,2/02/2005,190.0,
318,9/02/2005,170.0,
319,16/02/2005,165.0,
320,23/02/2005,168.0,
321,2/03/2005,167.0,
322,9/03/2005,190.0,
323,16/03/2005,185.0,
324,23/03/2005,176.0,
325,30/03/2005,176.0,
326,6/04/2005,176.0,
327,13/04/2005,178.0,
328,20/04/2005,195.0,
329,27/04/2005,183.0,
