,Date,16-18kg,18-20kg,20-22kg,22-24kg,CPI (Dec20$)
47,31/12/2003,320,333,327.3333333,313,0.678
48,31/01/2004,352,354.25,349.25,331.75,0.684
49,29/02/2004,372.5,365.5,358.5,339.75,0.684
50,31/03/2004,353.7407407,355.4,350,333.6,0.684
51,30/04/2004,345.462963,346.25,340,318,0.688
52,31/05/2004,339.6296296,359,349.2,327,0.688
53,30/06/2004,333.7962963,433.25,428.25,395.5,0.688
54,31/07/2004,328.6111112,490.5,486.75,469.75,0.69
55,31/08/2004,322.7777778,470.4,467.6,459.2,0.69
56,30/09/2004,316.9444445,407.5,409.5,404.75,0.69
57,31/10/2004,319.375,348.25,348.25,355,0.695
58,30/11/2004,312,335.6,334.2,338.4,0.695
59,31/12/2004,315,329,327,335.5,0.695
60,31/01/2005,325,336,331.25,326.5,0.701
61,28/02/2005,322.5,344.75,328.75,315.25,0.701
62,31/03/2005,327.5,342.25,326,305,0.701
63,30/04/2005,322.5,333.75,318.25,298.5,0.705
64,31/05/2005,333.6,339.4,319.2,300.2,0.705
65,30/06/2005,355,352.75,338.25,314.25,0.705
66,31/07/2005,381.75,374,370.25,355,0.712
67,31/08/2005,399.8,394.4,390.8,371.4,0.712
68,30/09/2005,389.25,387.75,391.75,381.75,0.712
69,31/10/2005,346.2,352.6,349,343.6,0.715
70,30/11/2005,315,336.5,333.5,330.25,0.715
71,31/12/2005,329,338,338,337.5,0.715
72,31/01/2006,321.25,337,336.75,329.25,0.721
73,28/02/2006,318,346,351,345.25,0.721
74,31/03/2006,280,342.5,343.25,339.5,0.721
75,30/04/2006,280,339.75,339.75,336.75,0.733
76,31/05/2006,280.3076923,343.8,343,339.6,0.733
77,30/06/2006,285.3846154,350.25,349.75,349.5,0.733
78,31/07/2006,292.3076923,364.6,363.2,360,0.74
79,31/08/2006,293.8461539,354.25,355.5,350.5,0.74
80,30/09/2006,270,314.25,311.5,314.25,0.74
81,31/10/2006,240,307.6,303.6,305,0.739
82,30/11/2006,217.5,317.5,311.5,321.25,0.739
83,31/12/2006,220,321,318,325,0.739
84,31/01/2007,242.5,327.5,325.5,326,0.739
85,28/02/2007,280,331,331,327,0.739
86,31/03/2007,282.5,337.5,342.5,339.75,0.739
87,30/04/2007,288,341.8,341.8,335,0.748
88,31/05/2007,335,354.25,353.5,346.75,0.748
89,30/06/2007,352.5,375.5,373,374,0.748
90,31/07/2007,334,363,363.2,368.6,0.753
91,31/08/2007,292.5,312,312.5,317.25,0.753
92,30/09/2007,231,262.75,264.75,270.25,0.753
93,31/10/2007,234,276.8,268.8,274.2,0.76
94,30/11/2007,250,294.25,280.75,277,0.76
95,31/12/2007,250,303.5,295,289,0.76
96,31/01/2008,317.5,328,328.5,323.25,0.77
97,29/02/2008,347.5,369.75,372,343.75,0.77
98,31/03/2008,314,353.8,338.8,327.2,0.77
99,30/04/2008,310,348,337.5,328.5,0.782
100,31/05/2008,335,366.75,354.25,348.5,0.782
101,30/06/2008,386,430.4,417.4,408.8,0.782
102,31/07/2008,420,460.75,453.75,448.5,0.791
103,31/08/2008,415,461,456.25,448.75,0.791
104,30/09/2008,396,437.2,436.8,433.6,0.791
105,31/10/2008,350,372.25,373.5,379.5,0.788
106,30/11/2008,321.25,359,359.75,363.75,0.788
107,31/12/2008,358.3333333,403,397.6666667,393.3333333,0.788
108,31/01/2009,398.75,422,417.5,413.75,0.789
109,28/02/2009,395,412.75,407,411.25,0.789
110,31/03/2009,428,435.6,429.6,434.8,0.789
111,30/04/2009,460,451.75,447.25,448.75,0.793
112,31/05/2009,470,464.75,457.75,458,0.793
113,30/06/2009,506,490.6,481.6,480,0.793
114,31/07/2009,510,499,497,489.75,0.8
115,31/08/2009,406,434.4,442.2,452.2,0.8
116,30/09/2009,397.5,424.5,433.25,440.25,0.8
117,31/10/2009,425,422.5,425.5,429.25,0.805
118,30/11/2009,397.2,393.4,393.6,394.2,0.805
119,31/12/2009,406.5,415,413.5,414.5,0.805
120,31/01/2010,428.3333333,461.3333333,461.3333333,457.3333333,0.812
121,28/02/2010,450,469,469,465.5,0.812
122,31/03/2010,456,473.2,473.2,469.6,0.812
123,30/04/2010,450,468.5,468.5,463.25,0.817
124,31/05/2010,462,482.6,481.6,476.2,0.817
125,30/06/2010,477.5,498.75,498.75,493,0.817
126,31/07/2010,497.5,496,495.25,484.5,0.823
127,31/08/2010,492,512.2,512.2,493.6,0.823
128,30/09/2010,506.25,518,517,495.25,0.823
129,31/10/2010,447.5,472.75,472.75,461.75,0.827
130,30/11/2010,422,464.8,465.4,456,0.827
131,31/12/2010,450,491.5,492,490.5,0.827
132,31/01/2011,511.25,532.75,533.75,535.5,0.839
133,28/02/2011,550,575.5,575.75,571.75,0.839
134,31/03/2011,567.5,600.25,600.25,595.25,0.839
135,30/04/2011,570,596.25,596.5,588,0.846
136,31/05/2011,582,570,572.8,553,0.846
137,30/06/2011,557.5,543.25,545.25,522.75,0.846
138,31/07/2011,517.5,493,492.25,470.25,0.852
139,31/08/2011,480,494,493,464.4,0.852
140,30/09/2011,480,493.5,495.75,470.75,0.852
141,31/10/2011,498,505.6,507,493.6,0.852
142,30/11/2011,487.5,500.25,500.75,490.5,0.852
143,31/12/2011,500,511,511,504,0.852
144,31/01/2012,445,496.25,496.25,483.5,0.852
145,29/02/2012,431.25,482.5,481,462.25,0.852
146,31/03/2012,422.5,469.25,468,455.75,0.852
147,30/04/2012,420,449,447.6,441,0.857
148,31/05/2012,420,443.25,441.5,435.25,0.857
149,30/06/2012,420,446.5,448.5,431.5,0.857
150,31/07/2012,420,453.6,441.2,424.8,0.869
151,31/08/2012,420,427,418.25,403,0.869
152,30/09/2012,400,416.75,413.5,408.5,0.869
153,31/10/2012,366,393.6,392.8,382.6,0.87
154,30/11/2012,348.75,350.25,351.25,351.75,0.87
155,31/12/2012,337.5,354.5,354.5,351.5,0.87
156,31/01/2013,351.75,360.75,361.5,359,0.874
157,28/02/2013,361.5,369.25,369.5,366.25,0.874
158,31/03/2013,411.75,423,423.75,421,0.874
159,30/04/2013,409.6,427.6,429.2,426.4,0.877
160,31/05/2013,348.75,417.5,417.25,419.5,0.877
161,30/06/2013,375,473.75,472.75,463.25,0.877
162,31/07/2013,404,505.4,502.6,496.6,0.887
163,31/08/2013,381.25,489.25,487.75,487.5,0.887
164,30/09/2013,350,452.4,452.4,448.2,0.887
165,31/10/2013,,435,435,429.25,0.894
166,30/11/2013,,419.75,419.75,413.75,0.894
167,31/12/2013,,430.5,430.5,426.6,0.894
168,31/01/2014,,439.5,439.5,432.5,0.899
169,28/02/2014,,480.75,482.25,476.5,0.899
170,31/03/2014,,566.4,566.4,563.6,0.899
171,30/04/2014,,574,574,568.75,0.904
172,31/05/2014,,592.75,592.75,586.5,0.904
173,30/06/2014,,587.6,587.6,584.4,0.904
174,31/07/2014,,555.75,559.25,563,0.908
175,31/08/2014,,497.75,497.75,500.75,0.908
176,30/09/2014,,493.8,493.8,490,0.908
177,31/10/2014,,483.5,483.5,482.5,0.91
178,30/11/2014,,466.5,470,466.25,0.91
179,31/12/2014,,497.65,502.25,502,0.91
180,31/01/2015,,514.5625,523.3125,524,0.911
181,28/02/2015,,531.25,541.25,543.5,0.911
182,31/03/2015,,519.2,529.2,520,0.911
183,30/04/2015,,527,537,529.25,0.917
184,31/05/2015,,539.5,554.5,549.5,0.917
185,30/06/2015,,553,568,567.2,0.917
186,31/07/2015,,564,574,569.5,0.922
187,31/08/2015,,568.8,577.8,575.6,0.922
188,30/09/2015,,551.25,562,560.75,0.922
189,31/10/2015,,484.25,499,497.5,0.925
190,30/11/2015,,493.4,518,518,0.925
191,31/12/2015,,499.0625,521.625,521.625,0.925
192,31/01/2016,,490.3125,514.875,514.875,0.923
193,29/02/2016,,503.8,523.8,525,0.923
194,31/03/2016,,484.5,501.5,501.5,0.923
195,30/04/2016,,502,510,510,0.927
196,31/05/2016,,528,536,533.6,0.927
197,30/06/2016,,588,596,592,0.927
198,31/07/2016,,604,612,612,0.933
199,31/08/2016,,591.4,600.6,600.6,0.933
200,30/09/2016,,549.75,567,567,0.933
201,31/10/2016,,540.6,555.4,556.4,0.939
202,30/11/2016,,521,537,535.5,0.939
203,31/12/2016,,515.4,524.6,530.3,0.939
204,31/01/2017,,534.88,549.92,552.56,0.943
205,28/02/2017,,607.5,613.5,613.5,0.943
206,31/03/2017,,621,621,621,0.943
207,30/04/2017,,652.5,652.5,652.5,0.945
208,31/05/2017,,640.4,640.4,640.4,0.945
209,30/06/2017,,638,638,638,0.945
210,31/07/2017,,594.4,594.4,594.4,0.951
211,31/08/2017,,600.5,600.5,600.5,0.951
212,30/09/2017,,607.5,607.5,607.5,0.951
213,31/10/2017,,606,606,606,0.956
214,30/11/2017,,634,634,634,0.956
215,31/12/2017,,652,652,652,0.956
216,31/01/2018,,654.6,654.6,654.6,0.961
217,28/02/2018,,623.5,623.5,623.5,0.961
218,31/03/2018,,617.75,617.75,617.75,0.961
219,30/04/2018,,609.6,609.6,609.6,0.964
220,31/05/2018,,602.5,602.5,602.5,0.964
221,30/06/2018,,630,630,630,0.964
